"","PhenocamID","Year","Snow_Free_Melt_Date","First_snow_free_day","First_snow_return_day_end_of_season","snow_coverage_end_of_season_100","First_bud_burst","First_leaf_yellow","All_leaves_yellow","SampleID_standard","Species","population","Snow_melt_DOY","All_snow_free_DOY","Snow_return_EoS_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","growing_season","snow_free_days"
"144","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,NA,NA,NA,"KLSRC10","Salix richardsonii","Southern Garden",121,122,NA,NA,NA,NA,NA,NA
"145","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-19,2023-07-28,2023-08-10,"H15SP27","Salix pulchra","Northern Garden",121,122,NA,139,209,222,70,NA
"146","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-20,2023-07-29,NA,"PC16CESP7","Salix pulchra","Southern Garden",121,122,NA,140,210,NA,70,NA
"147","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-23,NA,NA,"H17SP10","Salix pulchra","Northern Garden",121,122,NA,143,NA,NA,NA,NA
"148","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-18,2023-07-23,2023-08-10,"HERSP29","Salix pulchra","Northern Garden",121,122,NA,138,204,222,66,NA
"149","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-18,2023-07-18,NA,"KP17SP9","Salix pulchra","Southern Garden",121,122,NA,138,199,NA,61,NA
"150","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-19,2023-07-25,2023-08-14,"KP16SP33","Salix pulchra","Southern Garden",121,122,NA,139,206,226,67,NA
"151","KLUANECAM3",2023,2023-05-01,2023-05-02,NA,NA,2023-05-19,2023-07-02,2023-07-10,"H15SP29","Salix pulchra","Northern Garden",121,122,NA,139,183,191,44,NA
"152","KLUANECAM4",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-08,2021-09-07,"KPSR5","Salix richardsonii","Southern Garden",NA,NA,270,NA,220,250,NA,NA
"153","KLUANECAM4",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-10,2021-09-09,"KLSPE6","Salix pulchra","Southern Garden",NA,NA,270,NA,222,252,NA,NA
"154","KLUANECAM4",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-15,2021-09-14,"KLSRE4","Salix richardsonii","Southern Garden",NA,NA,270,NA,227,257,NA,NA
"155","KLUANECAM4",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-06,2021-09-14,"HESR2","Salix richardsonii","Northern Garden",NA,NA,270,NA,218,257,NA,NA
"156","KLUANECAM4",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-07,2021-08-25,"KP17SR2","Salix richardsonii","Southern Garden",NA,NA,270,NA,219,237,NA,NA
"157","KLUANECAM4",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-10,2021-08-31,"KP17SR3","Salix richardsonii","Southern Garden",NA,NA,270,NA,222,243,NA,NA
"158","KLUANECAM4",2021,NA,NA,2021-09-27,"12/10/2021",NA,2021-08-05,NA,"G",NA,NA,NA,NA,270,NA,217,NA,NA,NA
"159","KLUANECAM4",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",NA,NA,2022-09-03,"KPSR5","Salix richardsonii","Southern Garden",113,114,269,NA,NA,246,NA,155
"160","KLUANECAM4",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",NA,NA,2022-09-11,"KLSPE6","Salix pulchra","Southern Garden",113,114,269,NA,NA,254,NA,155
"161","KLUANECAM4",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",NA,NA,2022-09-09,"KLSRE4","Salix richardsonii","Southern Garden",113,114,269,NA,NA,252,NA,155
"162","KLUANECAM4",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",NA,NA,2022-08-30,"KLSPE4","Salix pulchra","Southern Garden",113,114,269,NA,NA,242,NA,155
"163","KLUANECAM4",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",NA,NA,2022-09-05,"PC17SR10","Salix richardsonii","Southern Garden",113,114,269,NA,NA,248,NA,155
"164","KLUANECAM4",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",NA,2022-08-06,NA,"HESR2","Salix richardsonii","Northern Garden",113,114,269,NA,218,NA,NA,155
"165","KLUANECAM4",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",NA,2022-08-08,NA,"KP17SR2","Salix richardsonii","Southern Garden",113,114,269,NA,220,NA,NA,155
"166","KLUANECAM4",2022,2022-04-23,2022-04-24,2022-09-26,"13/10/2022",NA,2022-08-04,NA,"KP17SR3","Salix richardsonii","Southern Garden",113,114,269,NA,216,NA,NA,155
"167","KLUANECAM4",2023,NA,NA,NA,NA,NA,2023-08-24,NA,"KPSR5","Salix richardsonii","Southern Garden",NA,NA,NA,NA,236,NA,NA,NA
"168","KLUANECAM4",2023,NA,NA,NA,NA,NA,2023-08-05,NA,"KLSPE6","Salix pulchra","Southern Garden",NA,NA,NA,NA,217,NA,NA,NA
"169","KLUANECAM4",2023,NA,NA,NA,NA,NA,2023-07-16,2023-08-12,"KLSPE4","Salix pulchra","Southern Garden",NA,NA,NA,NA,197,224,NA,NA
"170","KLUANECAM4",2023,NA,NA,NA,NA,NA,2023-08-10,2023-08-23,"PC17SR10","Salix richardsonii","Southern Garden",NA,NA,NA,NA,222,235,NA,NA
"171","KLUANECAM4",2023,NA,NA,NA,NA,NA,2023-08-14,NA,"KLSRE4","Salix richardsonii","Southern Garden",NA,NA,NA,NA,226,NA,NA,NA
"172","KLUANECAM4",2023,NA,NA,NA,NA,NA,2023-05-08,NA,"HESR2","Salix richardsonii","Northern Garden",NA,NA,NA,NA,128,NA,NA,NA
"173","KLUANECAM4",2023,NA,NA,NA,NA,NA,NA,NA,"KP17SR2","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"174","KLUANECAM4",2023,NA,NA,NA,NA,NA,NA,NA,"KP17SR3","Salix richardsonii","Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA
"175","KLUANECAM5",2022,2022-04-23,2022-04-23,NA,NA,NA,NA,NA,"G",NA,NA,113,113,NA,NA,NA,NA,NA,NA
"176","TREENOCAM",2021,2021-04-22,2021-04-26,2021-03-10,"16/11/2021",NA,NA,NA,NA,NA,NA,112,116,69,NA,NA,NA,NA,-47
"177","TREENOCAM",2022,2022-04-23,2022-04-25,2022-09-26,"13/10/2022",NA,NA,NA,NA,NA,NA,113,115,269,NA,NA,NA,NA,154
"178","TREENOCAM",2023,2023-05-01,2023-05-03,NA,NA,NA,NA,NA,NA,NA,NA,121,123,NA,NA,NA,NA,NA,NA
