"","Species","PhenocamID","Year","All_snow_free_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","population","Site","Snow_Free_Melt_Date","First_snow_free_day","First_snow_return_day_end_of_season","First_bud_burst","First_leaf_yellow","All_leaves_yellow","Snow_melt_DOY","Snow_return_EoS_DOY","growing_season","snow_free_days"
"200","Salix arctica","QHI_1",2022,163,NA,204,233,"Northern Source","QHI",NA,2022-06-12,NA,NA,2022-07-23,2022-08-21,NA,NA,NA,NA
"201","Salix arctica","QHI_2",2022,163,NA,207,236,"Northern Source","QHI",NA,2022-06-12,2022-09-25,NA,2022-07-26,2022-08-24,NA,268,NA,105
"202","Salix pulchra","QHI_3",2022,163,NA,202,239,"Northern Source","QHI",NA,2022-06-12,NA,NA,2022-07-21,2022-08-27,NA,NA,NA,NA
"203","Salix richardsonii","QHI_4",2022,179,NA,206,241,"Northern Source","QHI",NA,2022-06-28,NA,NA,2022-07-25,2022-08-29,NA,NA,NA,NA
"204","Salix arctica","QHI_5",2022,146,NA,213,244,"Northern Source","QHI",NA,2022-05-26,NA,NA,2022-08-01,2022-09-01,NA,NA,NA,NA
"205","Salix pulchra","QHI_6",2022,146,NA,212,NA,"Northern Source","QHI",NA,2022-05-26,NA,NA,2022-07-31,NA,NA,NA,NA,NA
"206","Salix richardsonii","QHI_7",2022,179,NA,209,244,"Northern Source","QHI",NA,2022-06-28,NA,NA,2022-07-28,2022-09-01,NA,NA,NA,NA
"207","Salix richardsonii","QHI_9",2022,163,NA,205,244,"Northern Source","QHI",NA,2022-06-12,2022-09-25,NA,2022-07-24,2022-09-01,NA,268,NA,105
"208","Salix arctica","QHI_10",2022,146,NA,216,244,"Northern Source","QHI",NA,2022-05-26,2022-09-25,NA,2022-08-04,2022-09-01,NA,268,NA,122
"209","Salix richardsonii","QHI_11",2022,146,NA,207,245,"Northern Source","QHI",NA,2022-05-26,NA,NA,2022-07-26,2022-09-02,NA,NA,NA,NA
"210","Salix pulchra","QHI_12",2022,167,NA,209,245,"Northern Source","QHI",NA,2022-06-16,NA,NA,2022-07-28,2022-09-02,NA,NA,NA,NA
"211","Salix arctica","QHI_13",2022,167,NA,208,NA,"Northern Source","QHI",NA,2022-06-16,NA,NA,2022-07-27,NA,NA,NA,NA,NA
"212","Salix richardsonii","QHI_14",2022,179,NA,219,NA,"Northern Source","QHI",NA,2022-06-28,NA,NA,2022-08-07,NA,NA,NA,NA,NA
"213","Salix pulchra","QHI_15",2022,164,NA,214,251,"Northern Source","QHI",NA,2022-06-13,2022-09-27,NA,2022-08-02,2022-09-08,NA,270,NA,106
"214","Salix arctica","QHI_18",2022,181,NA,216,242,"Northern Source","QHI",NA,2022-06-30,2022-09-25,NA,2022-08-04,2022-08-30,NA,268,NA,87
"215","Salix arctica","QHI_19",2022,177,NA,209,239,"Northern Source","QHI",NA,2022-06-26,2022-09-25,NA,2022-07-28,2022-08-27,NA,268,NA,91
"216","Salix arctica","QHI_20",2022,177,NA,207,241,"Northern Source","QHI",NA,2022-06-26,NA,NA,2022-07-26,2022-08-29,NA,NA,NA,NA
"217","Salix arctica","QHI_1",2023,161,NA,208,NA,"Northern Source","QHI",NA,2023-06-10,NA,NA,2023-07-27,NA,NA,NA,NA,NA
"218","Salix arctica","QHI_2",2023,161,162,209,NA,"Northern Source","QHI",2023-05-20,2023-06-10,NA,2023-06-11,2023-07-28,NA,140,NA,47,NA
"219","Salix pulchra","QHI_3",2023,161,168,NA,224,"Northern Source","QHI",2023-05-31,2023-06-10,NA,2023-06-17,NA,2023-08-12,151,NA,NA,NA
"220","Salix richardsonii","QHI_4",2023,282,NA,207,NA,"Northern Source","QHI",NA,2023-10-09,NA,NA,2023-07-26,NA,NA,NA,NA,NA
"221","Salix arctica","QHI_5",2023,161,NA,211,NA,"Northern Source","QHI",NA,2023-06-10,NA,NA,2023-07-30,NA,NA,NA,NA,NA
"222","Salix pulchra","QHI_6",2023,161,NA,205,226,"Northern Source","QHI",NA,2023-06-10,NA,NA,2023-07-24,2023-08-14,NA,NA,NA,NA
"223","Salix richardsonii","QHI_7",2023,161,NA,210,NA,"Northern Source","QHI",NA,2023-06-10,NA,NA,2023-07-29,NA,NA,NA,NA,NA
"224","Salix richardsonii","QHI_9",2023,282,165,207,NA,"Northern Source","QHI",2023-05-31,2023-10-09,NA,2023-06-14,2023-07-26,NA,151,NA,42,NA
"225","Salix arctica","QHI_10",2023,161,NA,207,NA,"Northern Source","QHI",2023-06-03,2023-06-10,NA,NA,2023-07-26,NA,154,NA,NA,NA
"226","Salix richardsonii","QHI_11",2023,161,NA,NA,NA,"Northern Source","QHI",NA,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA
"227","Salix pulchra","QHI_12",2023,161,NA,NA,NA,"Northern Source","QHI",NA,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA
"228","Salix arctica","QHI_13",2023,161,NA,211,NA,"Northern Source","QHI",NA,2023-06-10,NA,NA,2023-07-30,NA,NA,NA,NA,NA
"229","Salix richardsonii","QHI_14",2023,173,170,209,NA,"Northern Source","QHI",2023-06-21,2023-06-22,NA,2023-06-19,2023-07-28,NA,172,NA,39,NA
"230","Salix pulchra","QHI_15",2023,162,NA,207,227,"Northern Source","QHI",2023-05-31,2023-06-11,NA,NA,2023-07-26,2023-08-15,151,NA,NA,NA
"231","Salix arctica","QHI_18",2023,161,166,214,NA,"Northern Source","QHI",2023-05-29,2023-06-10,NA,2023-06-15,2023-08-02,NA,149,NA,48,NA
"232","Salix arctica","QHI_19",2023,161,165,205,NA,"Northern Source","QHI",2023-05-31,2023-06-10,NA,2023-06-14,2023-07-24,NA,151,NA,40,NA
"233","Salix arctica","QHI_20",2023,161,NA,202,NA,"Northern Source","QHI",NA,2023-06-10,NA,NA,2023-07-21,NA,NA,NA,NA,NA
"234","Salix pulchra","KP1",2023,159,170,224,NA,"Southern Source","Kluane",2023-06-01,2023-06-08,NA,2023-06-19,2023-08-12,NA,152,NA,54,NA
"235","Salix pulchra","KP2",2023,158,NA,223,NA,"Southern Source","Kluane",NA,2023-06-07,NA,NA,2023-08-11,NA,NA,NA,NA,NA
"236","Salix richardsonii","KP3",2023,159,162,228,NA,"Southern Source","Kluane",2023-06-06,2023-06-08,NA,2023-06-11,2023-08-16,NA,157,NA,66,NA
"237","Salix pulchra","KP4",2023,157,NA,219,NA,"Southern Source","Kluane",2023-06-05,2023-06-06,NA,NA,2023-08-07,NA,156,NA,NA,NA
"238","Salix richardsonii","KP7",2023,156,159,222,NA,"Southern Source","Kluane",2023-05-27,2023-06-05,NA,2023-06-08,2023-08-10,NA,147,NA,63,NA
"239","Salix richardsonii","KP8",2023,159,NA,224,NA,"Southern Source","Kluane",NA,2023-06-08,NA,NA,2023-08-12,NA,NA,NA,NA,NA
"240","Salix richardsonii","KP9",2023,159,NA,232,NA,"Southern Source","Kluane",NA,2023-06-08,NA,NA,2023-08-20,NA,NA,NA,NA,NA
