PLOT,Year,Site,Observer,NOTES,Plants_first_visible_through_snow,Snow_Free_Melt_Date,First_snow_free_day,First_snow_return_day _end_of_season,50_snow_coverge_end_of_season,100_snow_coverage_end_of_season,First_leaf_bud_burst,50_Leaves_Green,100_Leaves_Green,First_yellow_leaf,50_Leaves_Yellow,100_Leaves_Yellow,Species,First_Leaf_Bud_Burst,First_Yellowing_of_Leaves,Last_Leaf_Turns_Yellow
QHI_8,2023,QHI,Elise Gallois,,NA,NA,10/6/2023,NA,NA,NA,NA,28/6/2023,6/7/2023,28/7/2023,NA,NA,Reticulata,NA,NA,NA
QHI_9,2023,QHI,Elise Gallois,,22/5/2023,31/5/2023,09/10/2023,NA,NA,NA,12/6/2023,24/6/2023,9/7/2023,26/7/2023,NA,NA,Richardsonii,14/06/2023,26/07/2023,NA
QHI_10,2023,QHI,Elise Gallois,,28/5/2023,3/6/2023,10/6/2023,NA,NA,NA,16/6/2023,26/6/2023,13/7/2023,27/7/2023,NA,NA,Arctica,NA,26/07/2023,NA
QHI_11,2023,QHI,Elise Gallois,missing may and most of june (and also! most of august.),NA,NA,10/6/2023,NA,NA,NA,NA,NA,45115,NA,NA,NA,Richarsonii,NA,NA,NA
QHI_12,2023,QHI,Elise Gallois,missing august,23/05/2023,NA,10/6/2023,NA,NA,NA,NA,03/07/2023,15/07/2023,NA,NA,NA,Pulchra,NA,NA,NA
QHI_13,2023,QHI,Elise Gallois,missing may and most of june  ,NA,NA,10/6/2023,NA,NA,NA,NA,NA,NA,45139,NA,NA,Arctica,NA,30/07/2023,NA
QHI_14,2023,QHI,Elise Gallois,,15/5/2023,21/6/2023,22/6/2023,NA,NA,NA,21/6/2023,23/6/2023,30/6/2023,24/7/2023,8/8/2023,NA,Richardsonii,19/06/2023,28/07/2023,NA
QHI_15,2023,QHI,Elise Gallois,,23/5/2023,31/5/2023,11/6/2023,NA,NA,NA,16/6/2023,29/6/2023,11/7/2023,26/7/2023,9/8/2023,NA,Pulchra,NA,26/07/2023,15/08/2023
QHI_16,2023,QHI,Elise Gallois,tipped over in august,21/5/2023,NA,11/6/2023,NA,NA,NA,14/6/2023,28/6/2023,13/7/2023,31/7/2023,NA,NA,Reticulata,NA,NA,
QHI_17,2023,QHI,Elise Gallois,,21/5/2023,28/5/2023,10/6/2023,NA,NA,NA,17/6/2023,26/6/2023,8/7/2023,30/7/2023,NA,NA,Reticulata,NA,NA,
QHI_18,2023,QHI,Elise Gallois,,22/5/2023,29/5/2023,10/6/2023,NA,NA,NA,15/6/2023,24/6/2023,5/7/2023,2/8/2023,15/8/2023,NA,Arctica,15/06/2023,02/08/2023,NA
QHI_19,2023,QHI,Elise Gallois,,23/5/2023,31/5/2023,10/6/2023,NA,NA,NA,08/06/2023,20/06/2023,28/06/2023,22/07/2023,14/08/2023,NA,Arctica,14/06/2023,24/07/2023,NA
QHI_20,2023,QHI,Elise Gallois,missing may and most of june,NA,NA,10/6/2023,NA,NA,NA,NA,NA,45108,45120,45141,NA,Arctica,NA,21/07/2023,
KP1,2023,Kluane,Elise Gallois,,18/05/2023,01/06/2023,08/06/2023,NA,NA,NA,07/06/2023,22/06/2023,12/07/2023,09/08/2023,NA,NA,pulchra,19/06/2023,12/08/2023,NA
KP2,2023,Kluane,Elise Gallois,missing data between october 22 and july 23,NA,NA,07/06/2023,NA,NA,NA,NA,NA,45123,45149,NA,NA,pulchra,NA,11/08/2023,NA
KP3,2023,Kluane,Elise Gallois,,17/05/2023,06/06/2023,08/06/2023,NA,NA,NA,11/06/2023,23/06/2023,15/07/2023,13/08/2023,NA,NA,richardsonii,11/06/2023,16/08/2023,NA
KP4,2023,Kluane,Elise Gallois,data missing between mid june and mid july,21/05/2023,05/06/2023,06/06/2023,NA,NA,NA,11/06/2023,NA,NA,07/08/2023,NA,NA,pulchra,NA,07/08/2023,NA
KP7,2023,Kluane,Elise Gallois,,18/05/2023,27/05/2023,05/06/2023,NA,NA,NA,08/06/2023,21/06/2023,04/07/2023,04/08/2023,21/08/2022,NA,richardsonii,08/06/2023,10/08/2023,
KP8,2023,Kluane,Elise Gallois,data missing 15th aug 22 - mid july 23,NA,NA,08/06/2023,NA,NA,NA,NA,NA,NA,21/08/2023,NA,NA,richardsonii,NA,12/08/2023,NA
KP9,2023,Kluane,Elise Gallois,,28/05/2023,,08/06/2023,NA,NA,NA,06/06/2023,25/06/2023,13/07/2023,08/08/2023,NA,NA,richardsonii,NA,20/08/2023,
TL-01,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-02,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-03,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-04,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-05,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-06,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-07,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-08,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-11,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-16,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
TL-17,2023,Toolik Lake,Elise Gallois,,,,,,,,,,,,,,,,,
