Sample_ID,Match,Species,Latitude,Longitude,elevation,Sample_location,Date_sampled,Date_propagated,Date_planted,Year_planted,Mother_height,Mother_CW_1,Mother_CW_2,Mother_LS,Mother_LL1,Mother_LL2,Mother_LL3,Mother_SE1,Mother_SE2,Mother_SE3,Mother_Sex,Cutting_length,Cutting_diameter,Cutting_age,Survived_2014,Survived_2015,Survived_2016,Survived_2017,Survived_2018,Survived_2019,Survived_2020,Bed,Row,Column,Notes
PC17SR5,#N/A,Salix richardsonii,61.21016798,-138.278323,1652.825317,Pika Camp,2013-08-17,NA,2016-08-17,2017,66,112,96,47.5,54,46,56,37,39,50,Unknown,33.8,11.8,NA,NA,NA,NA,NA,1,1,1,13,4,6,
PC17SR6,#N/A,Salix richardsonii,61.21009103,-138.278402,1656.953979,Pika Camp,2013-08-17,NA,2016-08-17,2017,56,128,52,25.6,52,52,46,65,60,70,Unknown,28.3,12.1,NA,NA,NA,NA,NA,1,1,1,13,3,6,
PC17SR7,#N/A,Salix richardsonii,61.20979599,-138.278628,1657.280029,Pika Camp,2013-08-17,NA,2016-08-17,2017,64,157,137,21.2,56,50,51,135,84,113,Male,34.7,10.2,NA,NA,NA,NA,NA,0,0,0,2,5,1,
PC17SR8,#N/A,Salix richardsonii,61.20953104,-138.278761,1658.555908,Pika Camp,2013-08-17,NA,2016-08-17,2017,64,102,157,22.1,40,46,45,64,71,98,Male,41.4,14.2,NA,NA,NA,NA,NA,0,0,0,2,4,1,
PC17SR9,#N/A,Salix richardsonii,61.20950396,-138.27864,1661.221924,Pika Camp,2013-08-17,NA,2016-08-17,2017,63,110,72,15.5,41,42,38,41,30,18,Unknown,33.4,13.7,NA,NA,NA,NA,NA,1,1,1,2,2,1,
PC17SR10,#N/A,Salix richardsonii,61.20942903,-138.278929,1659.244751,Pika Camp,2013-08-17,NA,2016-08-17,2017,78,109,89,51.7,62,53,51,82,65,46,Female,35.3,11.7,NA,NA,NA,NA,NA,1,1,1,2,1,1,
PC17SR11,#N/A,Salix richardsonii,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,80,120,171,33.4,63,47,54,73,83,87,Male,38.6,12.1,NA,NA,NA,NA,NA,1,,0,7,4,4,
PC17SR12,#N/A,Salix richardsonii,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,41,45,60,8.9,54,53,51,36,90,51,Male,38,8.4,NA,NA,NA,NA,NA,1,1,1,6,1,1,
PC17SR13,#N/A,Salix richardsonii,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,77,136,65,17.7,58,54,54,52,45,71,Male,29.3,11.3,NA,NA,NA,NA,NA,1,1,1,6,1,2,
PC17SR14,#N/A,Salix richardsonii,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,97,145,109,23.8,60,54,58,156,100,85,Male,41.3,11.6,NA,NA,NA,NA,NA,0,0,0,4,2,4,
PC17SR15,#N/A,Salix richardsonii,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,109,242,224,74.4,61,65,56,84,57,66,Female,36.2,14.8,NA,NA,NA,NA,NA,1,1,0,4,2,6,
PP17SR16,#N/A,Salix richardsonii,61.19633499,-138.312804,1754.323364,Printers Pass,2015-08-17,NA,2016-08-17,2017,81,137,121,31,38,44,41,45,59,57,Unknown,35.6,11.3,NA,NA,NA,NA,NA,1,1,1,16,5,3,
PP17SR17,#N/A,Salix richardsonii,61.19637304,-138.312715,1755.08374,Printers Pass,2015-08-17,NA,2016-08-17,2017,78.5,154,150,25,53,50,59,55,50,35,Male,37.7,14.3,NA,NA,NA,NA,NA,1,,0,16,4,3,
PP17SR18,#N/A,Salix richardsonii,61.19639601,-138.312714,1754.905273,Printers Pass,2015-08-17,NA,2016-08-17,2017,52,102,43,11,46,50,48,57,51,65,Unknown,36.5,8.4,NA,NA,NA,NA,NA,1,,0,16,3,3,
PP17SR19,#N/A,Salix richardsonii,61.19648301,-138.312843,1754.637817,Printers Pass,2015-08-17,NA,2016-08-17,2017,45,66,46,16,41,42,45,30,37,34,Unknown,24.2,10,NA,NA,NA,NA,NA,1,1,1,16,2,3,
PP17SR20,#N/A,Salix richardsonii,61.19640699,-138.312987,1752.199585,Printers Pass,2015-08-17,NA,2016-08-17,2017,37,32,30,11,42,44,39,40,31,22,Unknown,23.6,10.9,NA,NA,NA,NA,NA,1,1,1,16,1,3,
PC17SP1,#N/A,Salix pulchra,61.21222104,-138.27775,1648.69812,Pika Camp,2013-08-17,NA,2016-08-17,2017,81,73,61,19.4,45,53,51,63,58,70,Unknown,42,9.8,NA,NA,NA,NA,NA,1,1,,12,2,4,
PC17SP2,#N/A,Salix pulchra,61.21204401,-138.278224,1648.230591,Pika Camp,2013-08-17,NA,2016-08-17,2017,28,226,191,14.5,45,44,39,26,26,24,Male,26.9,10.4,NA,NA,NA,NA,NA,1,1,0,12,1,4,
PC17SP3,#N/A,Salix pulchra,61.21082998,-138.277277,1659.38208,Pika Camp,2013-08-17,NA,2016-08-17,2017,40,90,94,16.9,57,50,51,86,36,39,Unknown,27,12.7,NA,NA,NA,NA,NA,1,1,1,12,1,5,
PC17SP4,#N/A,Salix pulchra,61.21081296,-138.27791,1651.740723,Pika Camp,2013-08-17,NA,2016-08-17,2017,81,256,191,49.2,54,61,49,62,75,107,Male,33.6,16.1,NA,NA,NA,NA,NA,1,1,1,12,1,6,
PC17SP5,#N/A,Salix pulchra,61.21036302,-138.278332,1655.007568,Pika Camp,2013-08-17,NA,2016-08-17,2017,33,190,137,18,38,37,35,45,43,25,Unknown,26.9,14.8,NA,NA,NA,NA,NA,1,1,1,6,1,5,
PC17SP6,#N/A,Salix pulchra,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,49,149,91,14.9,45,35,39,46,74,40,Unknown,35.6,12.7,NA,NA,NA,NA,NA,1,1,1,6,1,6,
PC17SP7,#N/A,Salix pulchra,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,122,211,209,53.4,66,70,61,144,128,163,Unknown,36.1,9.2,NA,NA,NA,NA,NA,1,1,1,14,3,3,
PC17SP8,#N/A,Salix pulchra,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,40,99,102,10.2,46,56,66,60,123,155,Female,29.5,14.8,NA,NA,NA,NA,NA,1,1,1,14,2,3,
PC17SP9,#N/A,Salix pulchra,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,83,222,131,25,50,47,50,56,64,51,Unknown,34.5,11.9,NA,NA,NA,NA,NA,1,1,1,14,1,5,
PC17SP10,#N/A,Salix pulchra,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,22,62,51,11,54,53,55,57,50,50,Unknown,26.6,14.5,NA,NA,NA,NA,NA,1,1,1,14,1,7,
PP17SP11,#N/A,Salix pulchra,61.19633499,-138.312804,1754.323364,Printers Pass,2015-08-17,NA,2016-08-17,2017,90,107,128,30,52,52,50,98,106,86,Female,41.7,9.6,NA,NA,NA,NA,NA,1,0,0,8,6,1,
PP17SP12,#N/A,Salix pulchra,61.19637304,-138.312715,1755.08374,Printers Pass,2015-08-17,NA,2016-08-17,2017,71,71,64,19,50,52,52,70,42,38,Male,34,11.9,NA,NA,NA,NA,NA,1,1,1,8,5,1,
PP17SP13,#N/A,Salix pulchra,61.19639601,-138.312714,1754.905273,Printers Pass,2015-08-17,NA,2016-08-17,2017,58,174,52,17,51,41,45,46,44,42,Unknown,31.6,13.2,NA,NA,NA,NA,NA,1,1,1,8,4,1,
PP17SP14,#N/A,Salix pulchra,61.19648301,-138.312843,1754.637817,Printers Pass,2015-08-17,NA,2016-08-17,2017,74,148,137,25,43,38,42,34,65,42,Unknown,37,10.1,NA,NA,NA,NA,NA,0,0,0,8,3,1,
PP17SP15,#N/A,Salix pulchra,61.19640699,-138.312987,1752.199585,Printers Pass,2015-08-17,NA,2016-08-17,2017,47,225,205,23,50,51,50,43,77,80,Unknown,34.6,11.9,NA,NA,NA,NA,NA,1,1,1,8,2,1,
PC17SA1,#N/A,Salix arctica,61.21204401,-138.278224,1648.230591,Pika Camp,2013-08-17,NA,2016-08-17,2017,9.8,102,109,5.8,NA,NA,NA,NA,NA,NA,Male,12.1,7.6,NA,NA,NA,NA,NA,1,1,1,10,4,3,
PC17SA2,#N/A,Salix arctica,61.21081296,-138.27791,1651.740723,Pika Camp,2013-08-17,NA,2016-08-17,2017,4.3,81,53,9,NA,NA,NA,NA,NA,NA,Female,12.4,9.8,NA,NA,NA,NA,NA,1,0,0,10,3,3,
PC17SA3,#N/A,Salix arctica,61.21185098,-138.277023,1663.275146,Pika Camp,2013-08-17,NA,2016-08-17,2017,3.5,53,42,5.9,NA,NA,NA,NA,NA,NA,Unknown,18.1,6.4,NA,NA,NA,NA,NA,0,0,0,10,2,3,
PC17SA4,#N/A,Salix arctica,61.21196799,-138.277046,1663.122925,Pika Camp,2013-08-17,NA,2016-08-17,2017,6.6,81,56,6.8,NA,NA,NA,NA,NA,NA,Unknown,11.2,8.2,NA,NA,NA,NA,NA,0,0,0,12,5,1,
PC17SA5,#N/A,Salix arctica,61.212114,-138.277093,1661.925781,Pika Camp,2013-08-17,NA,2016-08-17,2017,5.5,108,78,8.9,NA,NA,NA,NA,NA,NA,Unknown,17.1,8.9,NA,NA,NA,NA,NA,1,0,0,12,4,1,
PC17SA6,#N/A,Salix arctica,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,6.3,106,104,9,NA,NA,NA,NA,NA,NA,Unknown,29.9,9,NA,NA,NA,NA,NA,1,1,1,10,6,6,
PC17SA7,#N/A,Salix arctica,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,5,46,52,6,NA,NA,NA,NA,NA,NA,Unknown,18.9,5.6,NA,NA,NA,NA,NA,1,1,1,10,5,6,
PC17SA8,#N/A,Salix arctica,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,6,34,66,8,NA,NA,NA,NA,NA,NA,Unknown,17.5,7.1,NA,NA,NA,NA,NA,1,0,0,10,4,6,
PC17SA9,#N/A,Salix arctica,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,6.2,78,48,6,NA,NA,NA,NA,NA,NA,Female,13.5,5.1,NA,NA,NA,NA,NA,1,1,1,10,3,6,
PC17SA10,#N/A,Salix arctica,,,,Pika Camp,2014-08-17,NA,2016-08-17,2017,8.6,117,200,14,NA,NA,NA,NA,NA,NA,Unknown,16.3,10.7,NA,NA,NA,NA,NA,1,0,0,10,2,6,
KP17SR6,#N/A,Salix richardsonii,60.95897198,-138.420817,1791.78186,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,48,76,78,16.9,65,67,67,60,38,41,Female,36.7,14,NA,NA,NA,NA,NA,NA,NA,,5,3,3,
KP17SR7,#N/A,Salix richardsonii,60.95846001,-138.4219,1799.471924,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,54,77,82,15.2,55,54,59,70,90,72,Unknown,32.7,11,NA,NA,NA,NA,NA,NA,NA,,5,6,7,
KP17SR8,#N/A,Salix richardsonii,60.95859597,-138.422739,1792.602173,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,93,157,83,22.9,56,51,57,62,67,116,Female,30.3,11,NA,NA,NA,NA,NA,NA,NA,,5,4,7,
KP17SR9,#N/A,Salix richardsonii,60.95867702,-138.42292,1791.685913,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,57,52,57,16.1,63,54,65,74,44,49,Unknown,30.6,8,NA,NA,NA,NA,NA,NA,NA,,5,3,7,
KP17SR10,#N/A,Salix richardsonii,60.95901003,-138.420972,1794.238037,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,86,200,201,31.3,65,62,70,75,63,71,Male,29.1,15,NA,NA,NA,NA,NA,NA,NA,,2,1,3,
KP17SR11,#N/A,Salix richardsonii,60.95924799,-138.421164,1789.092651,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,65,156,133,38,46,47,52,193,97,81,Female,35.5,16,NA,NA,NA,NA,NA,NA,NA,,2,2,4,
KP17SR12,#N/A,Salix richardsonii,60.96031903,-138.419537,1764.939941,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,64,209,199,37.3,62,64,61,61,84,92,Female,34.6,20,NA,NA,NA,NA,NA,NA,NA,,7,5,2,
KP17SR13,#N/A,Salix richardsonii,60.96049304,-138.418792,1761.851562,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,53,83,80,21.6,55,51,50,49,52,59,Unknown,29.8,18,NA,NA,NA,NA,NA,NA,NA,,7,1,4,
KP17SR14,#N/A,Salix richardsonii,60.96513402,-138.416872,1670.550049,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,42,65,32,15.5,55,43,52,36,48,49,Unknown,24.9,12,NA,NA,NA,NA,NA,NA,NA,,7,6,5,
KP17SR15,#N/A,Salix richardsonii,60.96522697,-138.416861,1668.626831,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,77,182,155,25.9,67,64,75,73,62,77,Male,42.5,19,NA,NA,NA,NA,NA,NA,NA,,7,1,5,
KP17SP6,#N/A,Salix pulchra,60.95897198,-138.420817,1791.78186,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,36,103,67,18.9,41,43,42,42,18,28,Unknown,32.6,18,NA,NA,NA,NA,NA,0,0,0,3,3,1,
KP17SP7,#N/A,Salix pulchra,60.95846001,-138.4219,1799.471924,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,58,47,30,9.3,41,46,50,86,45,35,Unknown,33,10,NA,NA,NA,NA,NA,,,,3,5,4,
KP17SP8,#N/A,Salix pulchra,60.95859597,-138.422739,1792.602173,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,67,173,134,28.5,45,44,53,55,39,61,Male,28.1,13,NA,NA,NA,NA,NA,0,0,0,3,5,5,
KP17SP9,#N/A,Salix pulchra,60.95867702,-138.42292,1791.685913,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,30,77,84,8,52,50,56,53,63,69,Unknown,26,11,NA,NA,NA,NA,NA,1,1,1,8,1,1,
KP17SP10,#N/A,Salix pulchra,60.95901003,-138.420972,1794.238037,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,25,165,122,8.1,54,52,51,36,38,30,Unknown,30.7,9,NA,NA,NA,NA,NA,0,0,0,8,1,2,
KP17SP11,#N/A,Salix pulchra,60.95924799,-138.421164,1789.092651,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,65,156,148,26.7,54,59,60,56,41,63,Female,33.2,15,NA,NA,NA,NA,NA,0,0,0,8,6,3,
KP17SP12,#N/A,Salix pulchra,60.96031903,-138.419537,1764.939941,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,85,185,151,37.1,59,57,60,138,155,123,Male,33.6,11,NA,NA,NA,NA,NA,1,1,1,8,4,3,
KP17SP13,#N/A,Salix pulchra,60.96049304,-138.418792,1761.851562,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,65,77,77,25.5,50,60,57,46,40,43,Unknown,30.4,11,NA,NA,NA,NA,NA,0,0,0,8,3,3,
KP17SP14,#N/A,Salix pulchra,60.96513402,-138.416872,1670.550049,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,48,85,78,15.2,63,57,57,48,54,55,Unknown,33.2,10,NA,NA,NA,NA,NA,1,1,1,8,2,3,
KP17SP15,#N/A,Salix pulchra,60.96522697,-138.416861,1668.626831,Kluane Plateau,2019-08-17,NA,2019-08-17,2017,74,182,142,29.8,49,48,51,74,50,43,Unknown,34.8,15,NA,NA,NA,NA,NA,0,0,0,8,2,7,
H17SP1,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,29.5,152,79,5,46,47,41,31,27,26,Unknown,23.2,6.1,7,NA,NA,NA,NA,0,0,0,1,6,1,
H17SP2,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,26.5,131,164,5,38,44,38,38,19,16,Unknown,26.7,6.3,8,NA,NA,NA,NA,1,0,0,1,6,2,
H17SP3,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,28,213,126,11,43,46,41,49,40,29,Unknown,25.9,11,11,NA,NA,NA,NA,1,1,1,1,6,3,
H17SP4,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,30.4,204,118,9,46,51,52,50,38,35,Unknown,29.8,10,10,NA,NA,NA,NA,1,0,0,1,6,4,
H17SP5,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,28.5,92,42,6,36,31,34,11,10,13,Unknown,30,6.5,8,NA,NA,NA,NA,1,0,0,1,6,5,
H17SP6,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,26.5,283,112,11,48,42,46,26,26,27,Unknown,40.7,6.8,9,NA,NA,NA,NA,1,1,1,1,6,6,
H17SP7,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,22,164,77,6,35,36,38,23,35,24,Unknown,28.5,7.4,8,NA,NA,NA,NA,1,1,1,1,6,7,
H17SP8,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,36,262,190,12,45,40,36,35,38,29,Unknown,41.9,11.9,14,NA,NA,NA,NA,1,,,9,2,3,
H17SP9,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,29,184,143,8,51,54,53,57,31,56,Unknown,28.9,10.8,17,NA,NA,NA,NA,1,1,1,5,6,5,
H17SP10,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,29,225,107,10,38,35,33,18,30,30,Unknown,27,9.4,11,NA,NA,NA,NA,1,1,1,8,5,4,
H17SP11,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,24,197,144,8,44,45,38,26,19,33,Unknown,36.8,12.2,9,NA,NA,NA,NA,1,0,0,8,3,4,
H17SP12,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,26.5,118,68,11,38,26,27,17,17,18,Female,29.8,6.7,8,NA,NA,NA,NA,1,1,1,8,3,4,
H17SP13,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,25,138,108,8,29,32,27,30,21,19,Female,37.2,8.3,11,NA,NA,NA,NA,1,1,1,8,6,5,
H17SP14,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,30,289,185,9,35,39,34,27,27,25,Unknown,33.3,8.1,7,NA,NA,NA,NA,1,1,1,8,2,5,
H17SP15,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,29,175,175,7,42,36,40,25,33,36,Unknown,26.8,8,8,NA,NA,NA,NA,1,0,0,8,1,5,
H17SP16,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,28,52,93,8,37,37,33,40,22,37,Female,35.9,9,8,NA,NA,NA,NA,NA,NA,NA,8,6,6,
H17SP17,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,28,112,88,8,37,38,41,53,64,63,Female,40.2,9.6,8,NA,NA,NA,NA,0,0,0,8,3,6,
H17SP18,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,23,162,128,6,38,36,34,109,53,32,Unknown,28.5,7.6,9,NA,NA,NA,NA,1,1,1,8,2,6,
H17SP19,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,18,215,143,8,58,47,44,32,41,33,Unknown,46.5,8.8,9,NA,NA,NA,NA,0,0,0,8,6,7,
H17SP20,#N/A,Salix pulchra,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,29,195,122,12,37,29,38,22,17,20,Unknown,30,9,13,NA,NA,NA,NA,1,,0,8,1,7,
H17SR1,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,38,245,169,18,41,44,36,24,30,23,Unknown,35.5,11.5,13,NA,NA,NA,NA,1,1,1,5,1,1,
H17SR2,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,23,204,165,14,40,40,37,26,15,23,Unknown,31.2,9.5,10,NA,NA,NA,NA,0,0,0,5,5,2,
H17SR3,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,27,152,132,9,40,42,42,38,32,15,Unknown,32.7,10.7,20,NA,NA,NA,NA,1,1,1,5,1,2,
H17SR4,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,49,500+,500+,39,44,40,41,33,29,32,Unknown,39,15.8,15,NA,NA,NA,NA,1,1,1,5,2,5,
H17SR5,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,27,500,425,15,49,46,41,24,17,21,Unknown,35.2,10.5,14,NA,NA,NA,NA,1,1,1,5,5,7,
H17SR6,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,23,192,167,14,47,45,47,21,22,31,Female,30.5,15,20,NA,NA,NA,NA,0,0,0,13,5,1,
H17SR7,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,34,184,132,9,44,40,45,24,26,25,Unknown,30.5,12,18,NA,NA,NA,NA,1,1,1,13,5,2,
H17SR8,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,32,305,195,13,44,39,37,27,21,25,Male,31.9,11.4,14,NA,NA,NA,NA,0,0,0,13,4,2,
H17SR9,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,56,500+,500+,32,44,44,47,34,41,30,Female,37.7,12.1,11,NA,NA,NA,NA,1,1,1,13,2,2,
H17SR10,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,42,186,154,13,43,39,40,22,17,36,Unknown,39.2,14,11,NA,NA,NA,NA,1,1,1,13,1,2,
H17SR11,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,67,500+,412,32,48,46,58,58,34,47,Female,40.5,11.5,12,NA,NA,NA,NA,0,0,0,13,5,4,
H17SR12,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,54,208,176,25,41,43,40,20,17,35,Male,29.3,11.5,17,NA,NA,NA,NA,1,1,1,13,4,4,
H17SR13,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,35,261,174,20,43,50,46,40,29,36,Unknown,43.9,10.5,13,NA,NA,NA,NA,1,1,1,13,3,4,
H17SR14,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,24,228,211,12,43,46,44,33,24,11,Unknown,28.5,13,7,NA,NA,NA,NA,0,0,0,13,2,4,
H17SR15,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,38,300,219,19,35,35,40,32,37,21,Unknown,30.5,11.2,14,NA,NA,NA,NA,1,1,1,13,2,5,
H17SR16,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,59,216,285,26,41,44,40,45,34,37,Unknown,33,15.6,15,NA,NA,NA,NA,0,0,0,7,5,3,
H17SR17,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,48,208,159,25,56,49,49,57,52,45,Unknown,35.5,12.3,16,NA,NA,NA,NA,0,0,0,7,2,5,
H17SR18,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,72,500+,500+,36,43,46,41,32,26,15,Unknown,44,12.1,16,NA,NA,NA,NA,1,1,1,7,1,6,
H17SR19,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,43,148,153,12,34,31,32,16,30,27,Male,23.1,15.1,20,NA,NA,NA,NA,1,1,1,7,1,7,
H17SR20,#N/A,Salix richardsonii,,,,Qikiqtaruk,2013-08-17,NA,2020-08-17,2017,55,212,196,21,47,47,40,22,31,29,Female,37.8,10.1,10,NA,NA,NA,NA,1,0,0,4,6,1,
H17SR21,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,52.5,482,402,30,50,48,48,46,36,32,Female,28.2,11,12,NA,NA,NA,NA,0,0,0,4,6,2,
H17SR22,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,48,321,307,24,41,41,38,21,20,26,Female,35.3,9.4,9,NA,NA,NA,NA,1,0,0,4,6,3,
H17SR23,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,54.5,NA,NA,NA,41,40,42,44,53,25,Female,39.1,8,9,NA,NA,NA,NA,1,0,0,4,6,4,
H17SR24,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,52.5,NA,NA,NA,43,40,45,64,66,30,Unknown,30.4,10.7,15,NA,NA,NA,NA,1,1,1,4,6,5,
H17SR25,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,47,NA,NA,NA,42,40,47,31,38,39,Female,32.1,9.5,11,NA,NA,NA,NA,1,1,1,4,6,6,
H17SR26,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,67.5,NA,NA,NA,35,44,42,49,46,40,Unknown,42.3,10.7,12,NA,NA,NA,NA,0,0,0,4,6,7,
H17SR27,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,52.5,NA,NA,NA,38,37,44,30,37,32,Male,34.2,10.9,13,NA,NA,NA,NA,0,0,0,4,3,2,
H17SR28,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,77,NA,NA,NA,42,55,49,78,74,49,Male,39.7,10.9,14,NA,NA,NA,NA,1,0,0,4,3,5,
H17SR29,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,64.5,NA,NA,NA,39,38,38,30,28,20,Unknown,40.1,11.2,11,NA,NA,NA,NA,0,0,0,4,4,7,
H17SR30,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,59.5,NA,NA,NA,45,45,58,29,27,39,Unknown,41,10.4,12,NA,NA,NA,NA,1,1,1,16,4,1,
H17SR31,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,34,NA,NA,NA,41,38,38,22,25,21,Unknown,42.6,11.7,11,NA,NA,NA,NA,1,,0,16,3,1,
H17SR32,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,38,NA,NA,NA,47,43,34,38,28,29,Male,31.5,9.8,12,NA,NA,NA,NA,1,,,16,2,1,
H17SR33,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,39,NA,NA,NA,38,39,43,28,17,18,Unknown,39,10.4,7,NA,NA,NA,NA,0,0,0,16,1,1,
H17SR34,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,44,NA,NA,NA,38,34,32,30,36,37,Unknown,36.2,11.1,13,NA,NA,NA,NA,1,,0,16,2,4,
H17SR35,#N/A,Salix richardsonii,,,,Qikiqtaruk,2014-08-17,NA,2020-08-17,2017,46.5,392,339,28,55,51,59,110,78,111,Female,39.2,12.2,11,NA,NA,NA,NA,1,1,1,16,1,4,
