Bed,Name,Date (dd/mm/yyyy),Height_Aug2022 (cm) ,Height (cm),Width (cm),Width 2 (cm),Stem Elongation 1 (mm),Stem Elongation 2 (mm),Stem Elongation 3 (mm),Length 1 (mm),Length 2 (mm),Length 3 (mm),Stem diameter ,11 July 2023 notes
JB,H17sa18,2019-07-23,10,6.4,33.8,15.6,3,10,22,44,43,39,13,"23% dead, 2 branches removed, 80% yellowing and redding"
JB,H17sa20,2019-07-23,2.5,5.6,17.8,15.1,9,24,18,68,60,68,14,"75% dead, 2 branches removed, 20% yellowing"
JB,H15sa15,2019-07-23,2,3.4,12.2,9.9,4,6,8,24,27,29,5,100% yellowing
JB,H18sa12,2019-07-23,,"Dead, removed",,,,,,,,,,
EW,H17sr30,2019-07-23,14,16.3,37.6,28.1,16,5,25,31,34,37,20,"100% brown tips on leaves, 40% yellowing"
EW,Kp16sr60,2019-07-23,55,56,47.9,38.6,139,42,47,49,48,50,25,"40% brown patches, rest green"
EW,Kp16sr58,2019-07-23,46,38.6,75.2,55.4,66,84,42,33,35,37,29,"60% starting to yellow, 60% brown patches"
EW,Kp16sr57,2019-07-23,76,65.9,64.7,50.2,124,228,109,46,44,43,49,"15% yellowing, rest green"
EW,Pp17sr16,2019-07-23,44,43.4,57,46.4,74,39,75,36,43,40,35,"80% brown tips, 20% brown patches, cobwebs"
EW,H17sr35,2019-07-23,19,18.5,32.5,31.7,21,8,20,34,39,40,21,"30% reds, oranges, purples, 70% brown and yellow patches"
EW,H17sr37,2019-07-23,4,9.2,13,10.3,12,7,13,24,23,27,8,"100% brown tips on leaves, 60% yellowing and browning"
EW,Pp17SR20,2019-07-23,39,45.7,62,68.4,46,50,30,48,45,45,27,"One dead branch removed, 14% biomass, 40% brown patches, cobwebs"
EW,Pp17Sr19,2019-07-23,37,42.3,44.9,39.5,27,71,42,44,46,45,22,"85% turning brown and red, 15% brown"
EW,H18sr30,2019-07-23,10,17.6,24.2,19,8,14,7,25,26,25,13,"10% yellow, 100% turning yellow and brown"
EW,Kp18sa8,2019-07-23,7,10.3,28.1,14.4,13,10,5,24,30,28,8,"Two parts 10 cm apart, 100% brown patches on leaves"
EW,Kp18sa9,2019-07-23,3.5,3.1,10,7,2,2,3,35,34,26,6,60% brown patches
EW,H18sr27,2019-07-23,10,16.9,23.9,13.7,17,10,9,39,28,26,12,100% yellowing and redding
EW,Kp18sa10,2019-07-23,4.5,4.2,16.9,6.8,4,3,2,34,32,31,3,60% browning
EW,H18sa29,2019-07-23,3,3.3,15.5,9.2,4,4,3,27,32,29,4,100% purple patches on leaves
EW,H17Sr36,2019-07-23,,Dead,,,,,,,,,,Dead
EW,Kp18Sa5,2019-07-23,,"Dead, removed",,,,,,,,,,
