Name,Date,Canopy,LL1,LL2,LL3,SE1,SE2,SE3,Photo Available?,Notes
K15PSr4,26/06/16,,,,,,,,,
K15PSr5,26/06/16,,,,,,,,,
H15Sr5,26/06/16,14.6,21.9,19.3,15.6,8.7,5,,,
HeSr2,26/06/16,4.5,25.8,28.2,27.2,32.4,21.4,,,Browning
HeSr3,26/06/16,6.1,27.3,27.5,25.7,14.8,23.7,26.6,,
H15Sp26,26/06/16,13,15.8,15.8,15.6,,,,,
K15CSp8,26/06/16,,,,,,,,,
H15Sp30,26/06/16,14.3,19.2,18.6,,4.5,,,,Brown
K15CSp9,26/06/16,,,,,,,,,
H15Sp29,26/06/16,25.5,24.5,25.3,17.7,20.2,5.2,1.1,,Browning 
H15Sp25,26/06/16,3.6,19.6,22.2,17.4,20.9,,,,Herbivory
H15Sp27,26/06/16,10.7,28.6,25.4,19.7,19.4,13,12.5,,Browning
HeSp23,26/06/16,21.1,14.8,17.7,14,11.9,5.7,6.7,,Diseased?  browning
HeRSp26,26/06/16,3.4,16.1,21.6,13.2,17.5,17,8.6,,Browning/dead?
H15Sp28,26/06/16,,,,,,,,,
K15Ssr10,26/06/16,,,,,,,,,
K15CSr9,26/06/16,,,,,,,,,Possible growth 
K15CSr8,26/06/16,,,,,,,,,
K15PSr15,26/06/16,,,,,,,,,
KLSrC11,26/06/16,26.2,41.1,42.6,45.3,57,54.2,74.2,,
K15PSr14,26/06/16,,,,,,,,,Possible growth 
KLSrC13,26/06/16,30.1,61.7,64.5,51.8,310,242,148,,
K15PSr13,26/06/16,,,,,,,,,
HeSr26,26/06/16,13.6,33.6,24.1,24.1,19.9,13.3,11.9,,Herbivory and browning 
HeSr27,26/06/16,10.4,22,18.8,21.8,19.1,20.5,12.8,,Herbivory
H15Sr28,26/06/16,,,,,,,,,Looks dead
H15Sp29,26/06/16,4.5,28,23,26,11,0, 0,,
H15Sr30,26/06/16,6.7,19,21,19,0,0,0,,
HeSr21,26/06/16,26.7,24,24,26,39,54,32,,
H15Sr25,26/06/16,,,,,,,,,Looks dead
HeSr23,26/06/16,3.8,21,22,19,25,21,17,,Leaves browning and curling
K15ESp8,26/06/16,,,,,,,,,Possible early growth
K15ESp7,26/06/16,,,,,,,,,Looks dead
K15ESp6,26/06/16,,,,,,,,,Possible early growth
K15ESp5,26/06/16,,,,,,,,,Possible early growth
K15PSp1,26/06/16,,,,,,,,,Looks dead
K15PSp2,26/06/16,,,,,,,,,Possible early growth
K15PSp3,26/06/16,,,,,,,,,Possible early growth
K15PSp4,26/06/16,,,,,,,,,Possible early growth
K15PSp5,26/06/16,,,,,,,,,Possible early growth
H15Sp21,26/06/16,,,,,,,,,Looks dead
HeSp17,26/06/16,14.2,24,21,20,19,260,11,,Yellowing
HeSp18,26/06/16,9.1,31,32,33,34,46,30,,Browning tips
H15Sp22,26/06/16,,,,,,,,,Looks dead
HeSp20,26/06/16,14,32,28,29,510,420,260,,
KLSpE15,26/06/16,16.5,43,41,33,77,56,54,,
KLSpE14,26/06/16,31,57,76,74,237,230,240,,
K15PSp11,26/06/16,,,,,,,,,Possible early growth
KLSpE2,26/06/16,27.1,58,67,58,264,186,98,,
KLSp11,26/06/16,26.8,54,53,51,158,115,224,,
K15ESp10,26/06/16,,,,,,,,,Possible early growth
KLSpC8,26/06/16,12.8,50,45,38,70,75,57,,
KLSpC9,26/06/16,41.2,47,41,40,345,295,190,,
KLSpC10,26/06/16,32.8,41,39,42,41,43,38,,Brown leaves
H15Sp24,26/06/16,18.5,13,7,16,10,0,0,,Many leaves browning
HeRSp14,26/06/16,55,32,29,32,18,18,22,,
H15Sp23,26/06/16,18.2,20,17,14,18,0,0,,Brown tips on leaves
HeRSp12,26/06/16,30.3,26,32,30,62,44,42,,6 dead branches
HeRSp11,26/06/16,27.6,44,46,41,57,33,30,,"2 dead branches, cobweb"
K15PSr6,26/06/16,,,,,,,,,Possible early growth
K15PSr7,26/06/16,,,,,,,,,Possible early growth
K15PSr8,26/06/16,,,,,,,,,Possible early growth
K15PSr9,26/06/16,,,,,,,,,Possible early growth
K15PSr10,26/06/16,,,,,,,,,Possible early growth
H15Sr24,26/06/16,0.5,6,,,,,,,
H15Sr23,26/06/16,,,,,,,,,Looks dead
H15Sr22,26/06/16,,,,,,,,,Looks dead
HeSr17,26/06/16,3.2,21,20,18,24,0,0,,"Very brown, herbivory"
H15Sr21,26/06/16,,,,,,,,,Looks dead
KLSrE11,26/06/16,36,52,47,49,202,182,200,,
KLSrC10,26/06/16,34,45,48,50,281,212,259,,
KLSrC6,26/06/16,30.4,45,36,45,206,162,148,,
KLSrC7,26/06/16,38.5,40,40,41,192,194,171,,
K15PSr12,26/06/16,,,,,,,,,Possible early growth
K15PSr11,26/06/16,,,,,,,,,Possible early growth
KLSrE15,26/06/16,42,52,48,53,274,250,220,,
K15CSr7,26/06/16,,,,,,,,,Possible early growth
KLSrE13,26/06/16,30.2,46,38,45,284,237,245,,
KLSrE14,26/06/16,19.6,45,46,54,160,165,108,,
K15CSp7,26/06/16,,,,,,,,,Possible early growth
K15CSp6,26/06/16,,,,,,,,,Possible early growth
K15CSp5,26/06/16,,,,,,,,,Possible early growth
K15CSp4,26/06/16,,,,,,,,,Possible early growth
K15CSp3,26/06/16,,,,,,,,,Dead
K15ESp4,26/06/16,,,,,,,,,Possible early growth
K15ESp3,26/06/16,,,,,,,,,Possible early growth
K15ESp2,26/06/16,,,,,,,,,Possible early growth
K15ESp1,26/06/16,,,,,,,,,Dead
KPSr5,26/06/16,17.4,41,34,36,78,75,56,,
KLSpE6,26/06/16,26.5,70,65,64,286,325,342,,"Bits of herbivory, tumour, otherwise healthy"
KLSpE7,26/06/16,20.2,42,54,45,141,145,92,,
KLSpE8,26/06/16,29.5,65,67,72,431,276,294,,
KLSpE9,26/06/16,33,59,60,59,204,203,209,,
KLSpE10,26/06/16,26,40,33,38,128,145,112,,
HeSp12,26/06/16,15.6,29,30,28,50,44,57,,
H15Sp17,26/06/16,20.4,23,24,13,11,9,0,,Dry and browning
H15Sp18,26/06/16,11.2,40,33,35,32,0,0,,
H15Sp19,26/06/16,5.4,30,28,27,40,18,0,,Leave tips brown
H15Sp20,26/06/16,5.4,27,31,30,30,0,0,,
H15Sp13,26/06/16,27.5,31,34,33,41,37,0,,
H15Sp14,26/06/16,15.5,18,16,17,8,7,0,,Leaves dry and browning
H15Sp15,26/06/16,21.9,29,31,25,38,23,0,,
H15Sp16,26/06/16,19.2,27,26,24,0,0,0,,
HeSp6,26/06/16,13.5,33,35,34,43,33,29,,Tiny bit of browning at tip of leaves
KLSpC13,05/06/16,,53,46,43,115,93,,yes,
KPSp10,05/06/16,,none,,,,,,yes,
KPSp9,05/06/16,,none,,,,,,yes,
KPSp8,05/06/16,,none,,,,,,yes,
KPSp7,05/06/16,,none,,,,,,yes,
HERSp30,05/06/16,,none,,,,,,yes,
HERSp29,05/06/16,,38,36,42,33,24,,yes,
H15Sp9,05/06/16,,42,45,35,45,4,2,yes,some crumpled leaves
H15Sp10,05/06/16,,28,25,24,23,2,x,yes,
H15Sp11,05/06/16,,8,9,7,x,x,x,yes,
H15Sp12,05/06/16,,12,14,13,x,x,x,yes,
HeRSp9,05/06/16,,none,,,,,,yes,
K15SSr5,05/06/16,,none,,,,,,yes,
K15SSr6,05/06/16,,none,,,,,,yes,
K15SSr7,05/06/16,,none,,,,,,yes,
K15SSr8,05/06/16,,25,27,22,17,x,x,yes,
K15SSr9,05/06/16,,none,,,,,,yes,
KLSrE6,05/06/16,,38,39,42,80,128,115,yes,
KLSrE7,05/06/16,,34,45,34,141,169,164,yes,
K15ESr1,05/06/16,,none,,,,,,yes,
KLSrE9,05/06/16,,55,48,50,104,111,109,yes,
KLSrE10,05/06/16,,47,45,47,117,102,90,yes,
HeSr13,05/06/16,,32,30,33,24,28,7,yes,
H15Sr20,05/06/16,,9,10,12,x,x,x,yes,
H15Sr19,05/06/16,,none,,,,,,yes,
H15Sr18,05/06/16,,none,,,,,,yes,
H15Sr17,05/06/16,,none,,,,,,yes,
K15CSr6,05/06/16,,none,,,,,,yes,
K15CSr5,05/06/16,,none,,,,,,yes,
HeSr6,05/06/16,,25,25,28,31,24,26,yes,
HeSr7,05/06/16,,36,39,35,26,28,36,yes,a few small yellow leaves
HeSr8,05/06/16,,27,25,26,30,32,35,yes,herb 4 x leaves caterpillar?
H15Sr12,05/06/16,,19,15,14,8,x,x,yes,herb 1 x leaves caterpillar?
H15Sr13,05/06/16,,15,16,13,5,6,x,yes,crumply leaves
H15Sr14,05/06/16,,none,,,,,,yes,
H15Sr15,05/06/16,,none,,,,,,yes,
H15Sr16,05/06/16,,16,13,11,x,x,x,yes,
K15PSp1,05/06/16,,none,,,,,,yes,
K15PSp2,05/06/16,,none,,,,,,yes,scen. leaves from last year
K15PSp3,05/06/16,,none,,,,,,yes,scen. leaves from last year
K15PSp4,05/06/16,,none,,,,,,yes,scen. leaves from last year
K15PSp5,05/06/16,,none,,,,,,yes,
H15Sp1?,05/06/16,,7,5,5,2,x,x,yes,
HeRSp24,05/06/16,,42,33,44,24,17,16,yes,
H15Sp2,05/06/16,,21,19,19,23,14,23,yes,
H14Sp3,05/06/16,,22,13,22,9,x,x,yes,
H15Sp4,05/06/16,,11,10,17,2,x,x,yes,
H15Sp5,05/06/16,,22,23,25,7,10,x,yes,
H15Sp6,05/06/16,,28,27,24,8,5,4,yes,
HeSp4,05/06/16,,19,21,21,15,17,18,yes,
KLSpE1,05/06/16,,42,47,44,68,125,99,yes,
KLSpE2,05/06/16,,43,48,51,138,140,177,yes,
KLSpE3,05/06/16,,16,17,18,6,7,11,yes,
KLSpE4,05/06/16,,53,54,56,154,151,115,yes,
KLSpE5,05/06/16,,28,30,31,16,21,30,yes,
H15Sr11,05/06/16,,17,15,11,5,x,x,yes,
HeSp2,05/06/16,,32,30,28,11,20,16,yes,
HeFSr4,05/06/16,,39,40,39,67,13,12,yes,
H15Sr10,05/06/16,,none,,,,,,yes,
H15Sr9,05/06/16,,none,,,,,,yes,
H15Sr8,05/06/16,,none,,,,,,yes,
H15Sr4,05/06/16,,none,,,,,,yes,
K15CSp1,05/06/16,,none,,,,,,yes,
K15CSp2,05/06/16,,none,,,,,,yes,
H15Sr3,05/06/16,,21,18,14,13,x,x,yes,
K15CSr1,05/06/16,,none,,,,,,yes,
KLSpC1,05/06/16,,51,52,49,76,64,69,yes,
KLSpC2,05/06/16,,45,45,43,32,29,28,yes,
KLSpC3,05/06/16,,31,26,39,29,29,24,yes,
KLSrC2,05/06/16,,75,71,69,163,162,165,yes,
K15Sr2,05/06/16,,none,,,,,,yes,
K15CSr3,05/06/16,,none,,,,,,yes,
K15CSr4,05/06/16,,none,,,,,,yes,
K15SSr4,05/06/16,,none,,,,,,yes,
H15Sp7,05/06/16,,none,,,,,,yes,
H15Sp8,05/06/16,,32,25,28,7,9,5,yes,
HeRSp3,05/06/16,,32,31,29,32,36,30,yes,
HeRSp4,05/06/16,,22,25,25,28,33,25,yes,
HeRSp5,05/06/16,,15,15,17,8,x,x,yes,
KLSrE4,05/06/16,,60,56,59,189,192,202,yes,
K15SSr1,05/06/16,,none,,,,,,yes,
K15SSr2,05/06/16,,none,,,,,,yes,
K15SSr3,05/06/16,,none,,,,,,yes,
HeFSr4bclone,05/06/16,,21,23,24,15,2,x,yes,
H15Sr1,05/06/16,,none,,,,,,yes,
H15Sr2,05/06/16,,none,,,,,,yes,
H15Sr6,05/06/16,,none,,,,,,yes,
H15Sr7,05/06/16,,none,,,,,,yes,
K15PSr1,05/06/16,,none,,,,,,yes,
K15PSr2,05/06/16,,none,,,,,,yes,
K15PSr3,05/06/16,,none,,,,,,yes,
K15PSr4,05/06/16,,none,,,,,,yes,
K15PSr5,05/06/16,,none,,,,,,yes,
H15Sr5,05/06/16,,19,24,21,17,2,x,yes,
HeSr2,05/06/16,,30,28,25,23,29,15,yes,
HeSr3,05/06/16,,23,24,28,12,26,23,yes,
H15Sp26,05/06/16,,19,17,18,1,1,x,yes,
K15CSp8,05/06/16,,none,,,,,,yes,
H15Sp30,05/06/16,,26,16,x,4,x,x,yes,
K15CSp9,05/06/16,,none,,,,,,yes,
H15Sp29,05/06/16,,22,24,7,7,3,2,yes,
H15Sp25,05/06/16,,22,22,18,21,6,7,yes,herb x 2 leaves caterpillar?
H15Sp27,05/06/16,,29,29,27,16,14,15,yes,
HeSp23,05/06/16,,5,7,15,1,1,1,yes,
HeRSp26,05/06/16,,22,25,22,18,17,8,yes,leaf necrosis
H15Sp28,05/06/16,,none,,,,,,yes,
K15Sr10,05/06/16,,none,,,,,,yes,
K15Sr9,05/06/16,,none,,,,,,yes,
K15CSr8,05/06/16,,none,,,,,,yes,
K15PSr15,05/06/16,,none,,,,,,yes,
KLSrC11,05/06/16,,46,43,35,48,48,51,yes,
K15PSr14,05/06/16,,none,,,,,,yes,
KLSrC13,05/06/16,,49,57,59,180,135,131,yes,
K15PSr13,05/06/16,,none,,,,,,yes,
HeSr26,05/06/16,,28,35,26,17,35,18,yes,
HeSr27,05/06/16,,25,35,36,58,51,63,yes,
H15Sr28,05/06/16,,none,,,,,,yes,
H15Sp29,05/06/16,,21,26,28,20,1,x,yes,
H15Sr30,05/06/16,,7,19,19,4,3,3,yes,
HeSr21,05/06/16,,29,27,27,33,22,45,yes,
H15Sr25,05/06/16,,none,,,,,,yes,
HeSr23,05/06/16,,23,23,25,21,26,17,yes,
K15ESp8,05/06/16,,none,,,,,,yes,
K15ESp7,05/06/16,,none,,,,,,yes,
K15ESp6,05/06/16,,none,,,,,,yes,
K15ESp5,05/06/16,,none,,,,,,yes,
K15PSp1,05/06/16,,none,,,,,,yes,
K15PSp2,05/06/16,,none,,,,,,yes,
K15PSp3,05/06/16,,none,,,,,,yes,
K15PSp4,05/06/16,,none,,,,,,yes,
K15PSp5,05/06/16,,none,,,,,,yes,
H15Sp21,05/06/16,,none,,,,,,yes,
HeSp17,05/06/16,,21,24,22,13,9,8,yes,
HeSp18,05/06/16,,35,33,32,28,27,24,yes,
H15Sp22,05/06/16,,none,,,,,,yes,
HeSp20,05/06/16,,39,42,42,36,28,10,yes,
KLSpE15,05/06/16,,32,44,41,65,57,58,yes,
KLSpE14,05/06/16,,51,52,54,,,,yes,"red bottom of terminal leaves, especially the new growth, one dieting stem, one deformed stem"
K15PSp11,05/06/16,,none,,,,,,yes,
KLSpE2,05/06/16,,41,41,42,66,61,86,yes,
KLSp11,05/06/16,,54,57,58,60,110,87,yes,
K15ESp10,05/06/16,,none,,,,,,yes,
KLSpC8,05/06/16,,40,45,43,52,43,41,yes,"yellowing bigger leaves, the most apical ones"
KLSpC9,05/06/16,,43,39,42,196,163,155,yes,
KLSpC10,05/06/16,,41,45,44,33,41,39,yes,
H15Sp24,05/06/16,,20,26,16,8,7,7,yes,
HeRSp14,05/06/16,,31,28,31,23,19,16,yes,
H15Sp23,05/06/16,,26,22,23,10,6,12,yes,
HeRSp12,05/06/16,,33,33,32,44,70,52,yes,"dead tips of stems, last years growth"
HeRSp11,05/06/16,,49,48,42,45,36,26,yes,herb 3 x leaf caterpilar?
K15PSr6,05/06/16,,none,,,,,,yes,
K15PSr7,05/06/16,,none,,,,,,yes,
K15PSr8,05/06/16,,none,,,,,,yes,
K15PSr9,05/06/16,,none,,,,,,yes,
K15PSr10,05/06/16,,none,,,,,,yes,
H15Sr24,05/06/16,,6,5,x,x,x,x,yes,
H15Sr23,05/06/16,,none,,,,,,yes,
H15Sr22,05/06/16,,none,,,,,,yes,
HeSr17,05/06/16,,23,20,21,20,x,x,yes,
H15Sr21,05/06/16,,none,,,,,,yes,
KLSrE11,05/06/16,,51,54,46,87,108,96,yes,
KLSrC10,05/06/16,,54,56,48,174,176,156,yes,
KLSrC6,05/06/16,,35,36,36,91,95,104,yes,
KLSrC7,05/06/16,,none,,,,,,yes,
K15PSr12,05/06/16,,none,,,,,,yes,
K15PSr11,05/06/16,,none,,,,,,yes,
KLSrE15,05/06/16,,56,55,52,152,144,129,yes,
K15CSr7,05/06/16,,none,,,,,,yes,
KLSrE13,05/06/16,,39,43,42,154,151,141,yes,
KLSrE14,05/06/16,,63,56,53,83,114,96,yes,
K15CSp7,05/06/16,,none,,,,,,yes,
K15CSp6,05/06/16,,none,,,,,,yes,
K15CSp5,05/06/16,,none,,,,,,yes,
K15CSp4,05/06/16,,none,,,,,,yes,
K15CSp3,05/06/16,,none,,,,,,yes,
K15ESp4,05/06/16,,none,,,,,,yes,
K15ESp3,05/06/16,,none,,,,,,yes,
K15ESp2,05/06/16,,none,,,,,,yes,
K15ESp1,05/06/16,,none,,,,,,yes,
KPSr5,05/06/16,,41,39,42,75,66,68,yes,
KLSpE6,05/06/16,,50,47,49,111,75,108,yes,
KLSpE7,05/06/16,,38,49,42,80,76,93,yes,"yellow leaves, outer leaves, N limitation?"
KLSpE8,05/06/16,,67,64,63,100,102,201,yes,some yellowing of leaves
KLSpE9,05/06/16,,57,70,61,124,98,105,yes,
KLSpE10,05/06/16,,41,39,42,61,36,56,yes,
HeSp12,05/06/16,,32,31,32,29,29,37,yes,
H15Sp17,05/06/16,,18,16,16,12,4,2,yes,crumply leaves - kale-esque
H15Sp18,05/06/16,,41,36,41,27,2,19,yes,
H15Sp19,05/06/16,,35,31,30,34,x,x,yes,
H15Sp20,05/06/16,,20,24,31,24,6,x,yes,
H15Sp13,05/06/16,,13,14,14,10,x,x,yes,
H15Sp14,05/06/16,,21,18,16,10,7,6,yes,
H15Sp15,05/06/16,,32,31,32,38,21,6,yes,
H15Sp16,05/06/16,,none,,,,,,yes,
HeSp6,05/06/16,,33,34,35,35,33,32,yes,
