Sample,Species,Origin,Planting Year,Sampling Date,Planting Date,Duration,Water propogated,Rooted out,Leafed out (in propogation),Leaf out in 2016,Leaf out in 2015,Leaf out in 2014
K15ssr7,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,Nodules,Yes,0,,
K15ssr8,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,Nodules,Yes,1,,
K15ssr9,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,Yes,Yes,Early then died,,
K15ssr10,Salix richardsonii,PC,2015,28/06/15,18/08/15,51,Yes,Yes,Yes,0,,
K15sbg1,Betula nana,PC,2015,28/06/15,,,Yes,,,0,,
K15csp1,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15csp2,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,"Yes, maybe old",Yes,0,,
K15csp3,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,No,No,0,,
K15csp4,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,No,Yes,0,,
K15csp5,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Nodules,Yes,0,,
K15csp6,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Nodules,Yes,0,,
K15csp7,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15csp8,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,No,0,,
K15csp9,Salix pulchra,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15csr1,Salix richardsonii,PC,2015,27/06/15,18/08/15,52,Yes,No,Yes,0,,
K15csr2,Salix richardsonii,PC,2015,27/06/15,18/08/15,52,Yes,Nodules,Yes,0,,
K15csr3,Salix richardsonii,PC,2015,27/06/15,18/08/15,52,Yes,No,Yes,0,,
K15csr4,Salix richardsonii,PC,2015,27/06/15,18/08/15,52,Yes,No,No,0,,
K15csr5,Salix richardsonii,PC,2015,27/06/15,18/08/15,52,Yes,No,Yes,0,,
K15csr6,Salix richardsonii,PC,2015,27/06/15,18/08/15,52,Yes,No,No,0,,
K15csr7,Salix richardsonii,PC,2015,27/06/15,18/08/15,52,Yes,Yes,Yes,0,,
K15csr8,Salix richardsonii,PC,2015,27/06/15,18/08/15,52,Yes,No,Yes,0,,
K15csr9,Salix richardsonii,PC,2015,27/06/15,18/08/15,52,Yes,No,Yes,0,,
K15cbg1,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,No,0,,
K15cbg2,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,No,0,,
K15cbg3,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,No,0,,
K15cbg4,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,Yes,0,,
K15cbg5,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,No,0,,
K15cbg6,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,No,0,,
K15cbg7,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,Yes,0,,
K15cbg8,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,No,0,,
K15cbg9,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,No,0,,
K15cbg10,Betula nana,PC,2015,27/06/15,19/08/15,53,Yes,No,Yes,0,,
K15prbg1,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,No,0,,
K15prbg2,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,No,0,,
K15prbg3,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,No,0,,
K15prbg4,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,No,0,,
K15prbg5,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,Yes,0,,
K15prbg6,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,No,0,,
K15prbg7,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,No,0,,
K15prbg8,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,No,0,,
K15prbg9,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,No,0,,
K15prbg10,Betula nana,KP,2015,28/06/15,19/08/15,52,Yes,No,No,0,,
K15psp6,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Nodules,Yes,0,,
K15psp7,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psp8,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psp9,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psp10,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,Early then died,,
K15psp11,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Nodules,Senesced,0,,
K15psp12,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psp13,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psp14,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Nodules,Senesced,0,,
K15psp15,Salix pulchra,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psr6,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psr7,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psr8,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psr9,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psr10,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,Yes,No,0,,
K15psr11,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Senesced,0,,
K15psr12,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15psr13,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,No,Yes,0,,
K15psr14,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,No,Yes,0,,
K15psr15,Salix richardsonii,KP,2015,04/07/15,18/08/15,45,Yes,Yes,Yes,0,,
K15pbg6,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,No,0,,
K15pbg7,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,Yes,0,,
K15pbg8,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,No,0,,
K15pbg9,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,No,0,,
K15pbg10,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,No,0,,
K15pbg11,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,No,0,,
K15pbg12,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,No,0,,
K15pbg13,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,No,0,,
K15pbg14,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,No,0,,
K15pbg15,Betula nana,KP,2015,04/07/15,19/08/15,46,Yes,No,No,0,,
H15sr1,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr2,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,Leafed out?,0,,
H15sr3,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sr4,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr5,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sr6,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr7,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr8,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr9,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr10,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr11,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sr12,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sr13,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,"Yes, maybe old",No,1,,
H15sr14,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,0,,
H15sr15,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr16,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sr17,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,Early then died,,
H15sr18,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,Early then died,,
H15sr19,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sr20,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sr21,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,Early then died,,
H15sr22,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr23,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr24,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sr25,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr26,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,Early then died,,
H15sr27,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr28,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sr29,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sr30,Salix richardsonii,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp1,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp2,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp3,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp4,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp5,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp6,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp7,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,Leafed out?,1,,
H15sp8,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp9,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp10,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp11,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp12,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp13,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp14,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp15,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp16,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp17,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp18,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Yes,No,1,,
H15sp19,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp20,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp21,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sp22,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,Early then died,,
H15sp23,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp24,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp25,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp26,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,Nodules,No,1,,
H15sp27,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp28,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,0,,
H15sp29,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,No,No,1,,
H15sp30,Salix pulchra,QHI,2015,18/07/15,18/08/15,31,Yes,"Yes, maybe old",No,1,,
H15bn1,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn2,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn3,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn4,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn5,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn6,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn7,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn8,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn9,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn10,Betula nana,QHI,2015,18/07/15,19/08/15,32,Yes,No,No,0,,
H15bn11,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn12,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn13,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn14,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn15,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn16,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn17,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn18,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn19,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn20,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn21,Betula nana,QHI,2015,19/07/15,19/08/15,31,Yes,No,No,0,,
H15bn22,Betula nana,QHI,2015,21/07/15,19/08/15,29,Yes,No,No,0,,
H15bn23,Betula nana,QHI,2015,21/07/15,19/08/15,29,Yes,No,No,0,,
H15bn24,Betula nana,QHI,2015,21/07/15,19/08/15,29,Yes,No,No,0,,
H15bn25,Betula nana,QHI,2015,21/07/15,19/08/15,29,Yes,No,No,0,,
H15bn26,Betula nana,QHI,2015,21/07/15,19/08/15,29,Yes,No,No,0,,
H15bn27,Betula nana,QHI,2015,21/07/15,19/08/15,29,Yes,No,No,0,,
H15bn28,Betula nana,QHI,2015,21/07/15,19/08/15,29,Yes,No,No,0,,
H15bn29,Betula nana,QHI,2015,21/07/15,19/08/15,29,Yes,No,No,0,,
H15bn30,Betula nana,QHI,2015,21/07/15,19/08/15,29,Yes,No,No,0,,
H15sa1,Salix arctica,QHI,2015,21/07/15,20/08/15,30,Yes,Nodules,No,0,,
H15sa2,Salix arctica,QHI,2015,21/07/15,20/08/15,30,Yes,No,No,0,,
H15sa3,Salix arctica,QHI,2015,21/07/15,20/08/15,30,Yes,No,No,1,,
H15sa4,Salix arctica,QHI,2015,21/07/15,20/08/15,30,Yes,No,No,0,,
H15sa5,Salix arctica,QHI,2015,21/07/15,20/08/15,30,Yes,No,No,1,,
H15sa6,Salix arctica,QHI,2015,22/07/15,20/08/15,29,Yes,No,No,0,,
H15sa7,Salix arctica,QHI,2015,22/07/15,20/08/15,29,Yes,No,No,1,,
H15sa8,Salix arctica,QHI,2015,22/07/15,20/08/15,29,Yes,No,No,Early then died,,
H15sa9,Salix arctica,QHI,2015,22/07/15,20/08/15,29,Yes,No,No,1,,
H15sa10,Salix arctica,QHI,2015,22/07/15,20/08/15,29,Yes,No,Yes,1,,
H15sa11,Salix arctica,QHI,2015,24/07/15,20/08/15,27,Yes,No,No,1,,
H15sa12,Salix arctica,QHI,2015,24/07/15,20/08/15,27,Yes,No,No,1,,
H15sa13,Salix arctica,QHI,2015,24/07/15,20/08/15,27,Yes,No,No,Early then died,,
H15sa14,Salix arctica,QHI,2015,24/07/15,20/08/15,27,Yes,No,No,1,,
H15sa15,Salix arctica,QHI,2015,24/07/15,20/08/15,27,Yes,No,No,1,,
H15sa16,Salix arctica,QHI,2015,25/07/15,20/08/15,26,Yes,No,No,0,,
H15sa17,Salix arctica,QHI,2015,25/07/15,20/08/15,26,Yes,No,No,0,,
H15sa18,Salix arctica,QHI,2015,25/07/15,20/08/15,26,Yes,No,No,1,,
H15sa19,Salix arctica,QHI,2015,25/07/15,20/08/15,26,Yes,No,Yes,1,,
H15sa20,Salix arctica,QHI,2015,25/07/15,20/08/15,26,Yes,No,No,1,,
K15psa1,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,0,,
K15psa2©,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15psa3,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15psa4,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,0,,
K15psa5,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,0,,
K15psa6,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,Early then died,,
K15psa7,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15psa8,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,Early then died,,
K15psa9,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15psa10,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15psa11,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15psa12,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15psa13,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15psa14,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15psa15,Salix arctica,KP,2015,18/08/15,20/08/15,2,Yes,No,No,1,,
K15pbg16,Betula nana,KP,2015,18/08/15,19/08/15,1,Yes,No,No,Early then died,,
K15pbg17,Betula nana,KP,2015,18/08/15,19/08/15,1,Yes,No,No,0,,
K15pbg18,Betula nana,KP,2015,18/08/15,19/08/15,1,Yes,No,No,0,,
